replicate,n_unique_samples,n_oob_samples,shap_signed__Hematotoxicity,shap_signed__Immunotoxicity,shap_signed__Oxidative_Stress,shap_signed__Metabolism_Energy,shap_signed__Morphological_Development,shap_signed__Cardiovascular_Angiogenesis,shap_signed__Apoptosis_Proliferation,shap_signed__Behavior_Neuro,shap_signed__Endocrine_Thyroid,shap_signed__General_Fitness,shap_signed__Endocrine_Reproductive,shap_signed__Effect Measurement_LOO,shap_signed__SMR_VSA1,shap_signed__VSA_EState5,shap_signed__MolLogP,shap_signed__Chi1v,shap_signed__VSA_EState2,shap_signed__SlogP_VSA3,shap_signed__Chi4v,shap_signed__AvgIpc,shap_signed__NumValenceElectrons,shap_signed__Chi0,shap_signed__SMR_VSA5,shap_signed__Ipc,shap_signed__VSA_EState7,shap_signed__Kappa2,shap_signed__Chi4n,shap_signed__VSA_EState9,shap_signed__Chi1,shap_signed__SlogP_VSA2,shap_abs__Hematotoxicity,shap_abs__Immunotoxicity,shap_abs__Oxidative_Stress,shap_abs__Metabolism_Energy,shap_abs__Morphological_Development,shap_abs__Cardiovascular_Angiogenesis,shap_abs__Apoptosis_Proliferation,shap_abs__Behavior_Neuro,shap_abs__Endocrine_Thyroid,shap_abs__General_Fitness,shap_abs__Endocrine_Reproductive,shap_abs__Effect Measurement_LOO,shap_abs__SMR_VSA1,shap_abs__VSA_EState5,shap_abs__MolLogP,shap_abs__Chi1v,shap_abs__VSA_EState2,shap_abs__SlogP_VSA3,shap_abs__Chi4v,shap_abs__AvgIpc,shap_abs__NumValenceElectrons,shap_abs__Chi0,shap_abs__SMR_VSA5,shap_abs__Ipc,shap_abs__VSA_EState7,shap_abs__Kappa2,shap_abs__Chi4n,shap_abs__VSA_EState9,shap_abs__Chi1,shap_abs__SlogP_VSA2
10,161,102,-0.000850648151658,-0.0422867006926042,-0.0361768921130774,-0.0015872872180475,-0.0158799979420777,-0.0117328123560227,3.9711180840492544e-05,-0.0333952815178314,-0.0145015308409316,-0.0325758422008398,-0.0116136212992117,-0.3148116063540938,-0.0014203597529807,-0.0079735202022029,-0.0139667955393295,0.0057607188794343,-0.0024451973849023,-0.0234964961634968,-0.0011590257545331,-0.0094293326105357,-0.0086840152582352,0.0021898158943516,-0.0062936571690874,-0.0033517321374487,-0.0138905443255757,-0.0059214120054954,-0.0095649396385152,-0.0039383897195069,0.0007187251696555,-0.0012264051467224,0.00509166395978,0.271707780224616,0.1598182121036651,0.0142861029025722,0.093696323803113,0.0715826953552257,0.0076316751723563,0.2174700367328275,0.1480755211906881,0.117939220501469,0.0946225766150673,1.245626086746917,0.0396530890626148,0.1126805798108508,0.0443589054205157,0.0483579508905892,0.0355406472427563,0.0879931265953186,0.0250646172612671,0.0437164893458112,0.0346193389407717,0.0383837988317367,0.0546189461435541,0.033881255154931,0.0977519803667354,0.0516050741655215,0.0307758246606467,0.0165554825814883,0.0342596291900249,0.0456110155789433
11,171,92,0.0003782087165824,-0.0939093692744384,-0.0471872649387279,-0.0067771695381127,-0.0018540917076714,-0.0611362591111135,0.0015932148653044,-0.0357366582671196,-0.0221529741971669,-0.0038066352983653,-0.020915577021489,-0.4214877362229149,0.0040446781726083,-0.0138319220585702,-0.0075250361205163,0.002754621441934,-0.0049627577447304,0.0067489568963646,0.0030590733020699,-0.0024364615225233,-0.0051765790781517,-0.0041211032083692,-0.0037372533796308,-0.0041766198410468,0.0038719262948441,0.0097344096475349,-0.0017609407689806,-0.0002985152919206,-0.0027086604143017,-0.0035166694505624,0.005537210552575,0.4669998890346504,0.1488321761712663,0.0181856930587627,0.0502778116477187,0.4045231742168718,0.0110050003689752,0.1987509849621266,0.1102393773702664,0.0668423159906915,0.06855200921114,1.198702364995724,0.0243302339723389,0.1881259082289442,0.0429118330703625,0.0366486642024435,0.0653673806695637,0.1196943687956038,0.0407246162988518,0.0288435728335158,0.0263927154009486,0.0229346921886786,0.0348152027562794,0.0390312394900633,0.0603719297722485,0.0540928473538097,0.0303898865224372,0.0124467947113302,0.0219692902176348,0.0445223300916561
12,174,89,0.0005808984428004,-0.1204373470299449,-0.0258424940872593,-0.0063131059194724,-0.0129277107906731,-0.0539253196673605,-0.0014324604031146,-0.0296274222185419,-0.018175043621242,-0.0089670993494354,-0.0149787327400412,-0.4124959618813406,-0.0131126695947814,-0.0225945583222513,-0.0068284923443319,-0.0179826860290934,-0.044281738764238,-0.0086166922495762,-0.0002113284887966,-0.0008881195738289,-0.0044953357034841,-0.0053535987815138,-0.0079798851729548,-0.0047861912030299,-0.0088500917783216,-0.0068162864153462,-0.0102115375215492,0.0039006517385085,-0.002818407283468,-0.0040150020560292,0.021471543766961,0.4293619502825582,0.1352748067800191,0.0340998504727115,0.1035458631437625,0.5797323733814467,0.0200985092792283,0.1618664242715668,0.1735912291776108,0.1652102328662231,0.1030925070654884,1.2787074501587694,0.0369504381962632,0.107157367535462,0.0434713331081636,0.0619006878649176,0.1399493175022347,0.0575229919660914,0.0274987214456136,0.0210155773543821,0.0233387079289723,0.019697239626474,0.0174485258409917,0.0284126484217375,0.0410392873341303,0.0426461988250189,0.026931290792333,0.0315981880280495,0.0252719306807623,0.0295759476625385
13,171,92,0.0002669092590402,-0.0103769954115298,-0.0336006256027674,-0.000322775737901,0.0016674722916805,-0.0129412179570556,-0.0042816881916268,-0.0425104575192344,-0.0438332539332622,0.0195760695726115,0.0010324279476385,-0.3822872690947811,-0.0151931450768504,-0.0648368265106695,-0.014062030994345,-0.0113966637789772,-0.0443985324452182,-0.0107297420640897,-0.0078910005114819,-0.0166554641273073,-0.0158079044667356,-0.0029831947577264,-0.0131033698528786,-0.0212103087711399,-0.0114372154259732,-0.0157698430617873,-0.0109077752743661,-0.0016296004619624,-0.0108668324741004,-0.0109435806865258,0.0014950150066975,0.3189254912605911,0.2534189190780051,0.0122991880218613,0.1387067750307723,0.1425819707351287,0.0233120482738629,0.1465054018913207,0.1824475959396951,0.1573618182156772,0.0551053195457139,1.418163279152341,0.0588610479428604,0.1143944805337998,0.0436589352016414,0.0592304543420681,0.1214442147656177,0.0866582945256894,0.0418184288208328,0.0443163207325606,0.0431146068725186,0.0290817893066698,0.0303854055563754,0.0479576783042238,0.0755104000586877,0.033351640209674,0.0236664208237267,0.021372133284359,0.0290277038831096,0.0562280285480492
14,168,95,-0.0158916040980729,-0.0904578150178377,-0.0216433569789383,-0.0006985919230586,-0.0625075093644841,-0.0008128303281912,-0.0155794027713049,-0.0228275678745468,-0.1004213969060077,0.0425358393556234,-0.0069162620364343,-0.2628686458789307,-0.0064195034623234,-0.0169306557747201,-0.0085760938532802,-0.002703424047145,-0.0092856427786804,-0.0144218554684644,-0.0068460448221749,-0.0022061456391274,-0.0075908945231183,-0.0101517214210467,-0.0091057807533219,-0.0048686228396994,-0.0220788968314199,-0.0008143096034055,-0.0041865019307373,-0.0002354179662414,-0.0005321227848952,-0.0141078270310454,0.0617571145903143,0.3140033658473654,0.1105820519398441,0.0125479623738938,0.1799012328877373,0.1047009246018956,0.0785349598956937,0.1724426422744666,0.2574528747598461,0.2170699415686757,0.1840822068529366,1.1633002799351286,0.035051770172266,0.152864566975821,0.0572729362184547,0.0380819079492129,0.073461531401982,0.060183924779382,0.0358278380592401,0.0332863091852375,0.0368050596537478,0.0364634122140257,0.0395951565630645,0.0376715256790749,0.0731375414518475,0.0640537754326031,0.0408571877600484,0.0088736394037903,0.0197606247279663,0.0439343498074505
15,169,94,-0.0016445255795906,-0.0434765220975049,-0.0241074254316963,-0.0030601097350871,0.0218099389253553,-0.0188475526130662,-0.0081283790167244,-0.0110300235585195,-0.0022926134026624,0.0038159455969242,0.00462867943998,-0.2924540252128819,-0.0014612541874465,-0.0168891761627714,-0.0177726691760756,-0.0004265333326309,-0.0448874886969024,-0.0069420673288623,-0.0007548240244584,0.0056595518856976,0.0028299561370715,-7.145287736103527e-05,0.0017102958001951,0.0045816560405173,-0.0152335202136256,-0.004173644469269,-0.0102077066146626,-0.0012037199938255,0.0001691417133522,-0.0018320400665451,0.0070193848521486,0.2617614830844519,0.1288380037786965,0.0145722805424339,0.0993712458141692,0.0695534228182225,0.0367311906290805,0.1906828660966419,0.079064511964641,0.1244560609178501,0.1510724196490424,1.266167541566522,0.0480591602364581,0.0879642401058324,0.0505065135735902,0.0293073816255026,0.1793944888607453,0.0318231360303556,0.0337997807900215,0.0309320181000432,0.0350088718161211,0.0507602691341878,0.0490888282421028,0.0251747122749096,0.080122544548751,0.0442225690910013,0.0258188687346151,0.010597679575098,0.0282251890291729,0.0520721953406626
16,169,94,-0.0099902805674908,-0.0687808792233363,-0.0136807142901425,-0.0091031510088935,0.0063283383042665,-0.0066760542375255,-0.0172893358634206,-0.0203955443430704,0.0025441379492163,-0.0499849698846433,-0.021340374801895,-0.3460256096603507,-0.0117949643634668,-0.0124061215044102,-0.0107742728072389,-0.0115860430714425,-0.0350543465213644,-0.0057799775659074,-0.0012682227957542,-0.0096232684817542,-0.0033764088384819,-0.0123811930054033,-0.0080832538507976,-0.0051064113108086,-0.0163726106915414,-0.0125054563971,-0.0087023363712738,-0.0033384820349865,-0.0078255904256786,0.0003756813358349,0.089956902888005,0.324570800358368,0.1042761825837112,0.0332332846617334,0.0612824773027646,0.0343694943605711,0.0536606768383883,0.2394997128159178,0.0688649100141786,0.1045567141532613,0.1408316625068066,1.0826266268850913,0.0369831859414611,0.1076790859203119,0.0443958914837815,0.0331000329600516,0.0927391851373134,0.0743469954472831,0.0364188925389236,0.0278938141598006,0.0119913080813614,0.0241953354176745,0.0315104498953437,0.0276070636047178,0.0487162641631735,0.0426848918391688,0.0301703608452345,0.0161606013812221,0.0384002689599892,0.0534909469541474
17,171,92,-1.2548644869329312e-05,-0.0204887007399298,-0.0127283039238002,-0.0021666204438665,-0.0308746397699167,0.0014819618595633,-0.0020166205812638,-0.0365951291585912,0.0058229993231484,0.0149546868267176,-0.0206517454338862,-0.3322635690801113,-0.003075853631432,-0.01413442630958,-0.0043440688311179,-0.0040736234524274,-0.000660060281517,-0.0116073611942869,-0.0011520174162375,-0.0111380530452747,-0.0119697664418671,-0.0079784565042888,-0.0050399204367409,-0.0120549640507392,-0.0235225032953017,-0.0073124059645114,-0.002968511321979,-0.0093731117485645,0.0056958955712655,1.0204779905223108e-05,8.316674899510827e-05,0.2878970838676021,0.1777267948323965,0.0296648822677416,0.1137159524514289,0.1441520927992867,0.0110779639849015,0.2430841277968438,0.0768044569233937,0.2073724833426881,0.1681624802941217,1.2575734262826532,0.030988203860485,0.0769716617954406,0.0416467433674714,0.0592899119848262,0.0364372514517963,0.0782705445612235,0.0357807956544489,0.0447486248957096,0.0314039327668245,0.0248104086146819,0.0282503510206011,0.0324476842758407,0.1169654282153787,0.0277192924424037,0.0291829001642623,0.0269144525799699,0.0276977351368215,0.0344060048710139
18,158,105,0.0093541433577254,-0.0252504589368991,-0.0705468915914541,-0.006698237935222,-0.0277580323823388,-0.0010354090685109,-0.0089769186586742,-0.1300779586909555,-0.0731172384496028,-0.0147397313825832,0.0079433821481767,-0.3134855760101007,-0.0025599933783578,-0.0332244643368605,-0.0010692505940796,-0.0070797550918845,-0.0219480209536734,-0.036338637715677,0.0007303606914515,0.0008922945411438,-0.0064373956486251,-0.0089398799980816,-0.0169130672468603,6.243109190822403e-05,-0.0182432674485976,-0.0116379001991516,-0.0081673004252508,-0.0063644560641125,0.0007474561559272,-0.0032731429388869,0.1110799294675946,0.2856355135033891,0.151466344512832,0.0169770358393921,0.2614596888275057,0.0055572084081449,0.0666368354574794,0.2432803821092935,0.2355292232270392,0.1214439814378334,0.0888674858040625,1.1766853825501495,0.0303923169783204,0.1299493620858295,0.0713850680672483,0.0348097678597839,0.1006464076845776,0.0845790603691609,0.0287898907080856,0.0413445798478833,0.023051422352921,0.0394347065414242,0.0434978834108931,0.0259764915289673,0.0850123592705029,0.0536510487246463,0.0398850319165581,0.0347886743921041,0.029384338630304,0.0368968444032548
19,157,106,0.0124561705523118,-0.1272730917971949,-0.011609505236159,0.0054629515785876,0.0045506283495264,-0.0169802336507526,-0.0002825126798498,-0.0210204321373448,-0.0236593131183845,-0.0228598750413943,0.0042680196475472,-0.1635134860608459,-0.0092483567504047,-0.064119417206536,-0.0156917911930043,-0.0250862622739421,-0.0368608416854919,-0.0109924383055333,0.0017947430326521,0.0080718445923885,0.0014339784822392,-0.0051729638180744,-0.0092715342025643,-0.0037405764457499,-0.0130985307705224,-0.0058792497849155,-0.0103435425238778,0.0015423911368752,-0.0017294504223626,-0.007525168713477,0.107503774338164,0.4456220245953458,0.0735142612378043,0.0169799928723062,0.1086520557258078,0.0332433705264734,0.0088153494269436,0.1928060587453096,0.1422086594614787,0.0278934759637185,0.0892268621020356,1.0389575181860375,0.0278176017192569,0.1724649230474414,0.0674612494022843,0.1043150145205036,0.1235635631028458,0.0448586808423729,0.0284448644126449,0.0497575420046834,0.0388933638549631,0.0226605379965849,0.0278323407355034,0.0240026107984215,0.046314210127082,0.0355503122381198,0.0363348245991021,0.0291744323782856,0.0350613660812471,0.0425755021376954
